Items in order,stemmed_text
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Peri Peri Tangdi",x grill chicken jamaican tender x grill chicken peri peri tangdi
"1 x Peri Peri Fries, 1 x Fried Chicken Angara Tender, 1 x Grilled Chicken Angara Tender",x peri peri fri x fri chicken angara tender x grill chicken angara tender
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grill chicken
"1 x Fried Chicken Ghostbuster Tender, 1 x Angara Grilled Paneer (8 pcs)",x fri chicken ghostbust tender x angara grill paneer pc
"1 x Peri Peri Krispers, 1 x Fried Chicken Angara Tender",x peri peri krisper x fri chicken angara tender
"1 x Grilled Chicken Jamaican Tangdi, 1 x Bone in Jamaican Grilled Chicken",x grill chicken jamaican tangdi x bone jamaican grill chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
1 x Bone in Angara Grilled Chicken,x bone angara grill chicken
"1 x Fried Chicken Angara Tender, 1 x Angara Rice",x fri chicken angara tender x angara rice
1 x Grilled Chicken Peri Peri Tangdi,x grill chicken peri peri tangdi
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoki bbq grill chicken
1 x Fried Chicken Peri Peri Tender,x fri chicken peri peri tender
"2 x Tipsy Tiger Ginger Ale, 1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x tipsi tiger ginger ale x bone jamaican grill chicken x bone smoki bbq grill chicken
1 x Bone in Angara Grilled Chicken,x bone angara grill chicken
1 x Fried Chicken Peri Peri Tender,x fri chicken peri peri tender
1 x Angara Aloo Tuk Tuki,x angara aloo tuk tuki
1 x Grilled Chicken Peri Peri Tangdi,x grill chicken peri peri tangdi
1 x Grilled Chicken Smoky BBQ Tender,x grill chicken smoki bbq tender
1 x Grilled Chicken Smoky BBQ Tangdi,x grill chicken smoki bbq tangdi
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
"1 x Animal Fries, 1 x Salted Fries",x anim fri x salt fri
"1 x Bone in Jamaican Grilled Chicken, 1 x Fried Chicken Angara Tender",x bone jamaican grill chicken x fri chicken angara tender
1 x Bone in Kabuli Grilled Chicken,x bone kabuli grill chicken
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grill chicken
1 x Fried Chicken Peri Peri Tender,x fri chicken peri peri tender
1 x Fried Chicken Peri Peri Tender,x fri chicken peri peri tender
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone angara grill chicken x bone jamaican grill chicken
"1 x Jamaican Sauce, 2 x Grilled Chicken Jamaican Tender",x jamaican sauc x grill chicken jamaican tender
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x AAC Signature Fries, 1 x Bone in Peri Peri Grilled Chicken",x bone smoki bbq grill chicken x aac signatur fri x bone peri peri grill chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Peri Peri Tender, 1 x Grilled Chicken Angara Tenders + Salted Fries",x bone jamaican grill chicken x grill chicken peri peri tender x grill chicken angara tender salt fri
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
1 x Fried Chicken Peri Peri Tender,x fri chicken peri peri tender
1 x Bone in Kabuli Grilled Chicken,x bone kabuli grill chicken
1 x Animal Fries,x anim fri
1 x AAC Signature Krispers,x aac signatur krisper
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Fried Chicken Peri Peri Tenders + Peri Peri Fries",x bone smoki bbq grill chicken x fri chicken peri peri tender peri peri fri
"1 x Angara Aloo Tuk Tuki, 1 x AAC Signature Fries",x angara aloo tuk tuki x aac signatur fri
1 x Animal Fries,x anim fri
1 x Grilled Chicken Jamaican Tender,x grill chicken jamaican tender
"1 x Animal Fries, 1 x Grilled Chicken Smoky BBQ Tender",x anim fri x grill chicken smoki bbq tender
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoki bbq grill chicken x bone jamaican grill chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
1 x Grilled Chicken Smoky BBQ Tender,x grill chicken smoki bbq tender
1 x Fried Chicken Angara Tender,x fri chicken angara tender
1 x Fried Chicken Peri Peri Tender,x fri chicken peri peri tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoki bbq grill chicken x bone jamaican grill chicken
"1 x Fried Chicken Peri Peri Tender, 1 x Grilled Chicken Jamaican Tender",x fri chicken peri peri tender x grill chicken jamaican tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone jamaican grill chicken x bone peri peri grill chicken
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grill chicken
2 x Bone in Kabuli Grilled Chicken,x bone kabuli grill chicken
"1 x Fried Chicken Angara Tender, 1 x Salted Fries",x fri chicken angara tender x salt fri
"1 x Fried Chicken Peri Peri Tender, 1 x Garlic Aioli, 1 x Fried Chicken Classic Tender, 1 x Indian Pico De-Gallo",x fri chicken peri peri tender x garlic aioli x fri chicken classic tender x indian pico degallo
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Peri Peri Tender",x grill chicken jamaican tender x grill chicken peri peri tender
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Fried Chicken Classic Tender",x bone smoki bbq grill chicken x fri chicken classic tender
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone angara grill chicken x bone jamaican grill chicken
"1 x Fried Chicken Peri Peri Tender, 1 x AAC Saucy Fries",x fri chicken peri peri tender x aac sauci fri
"1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Peri Peri Tender",x bone jamaican grill chicken x grill chicken peri peri tender
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone angara grill chicken x bone peri peri grill chicken
2 x Bone in Peri Peri Grilled Chicken,x bone peri peri grill chicken
2 x Bone in Peri Peri Grilled Chicken,x bone peri peri grill chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone jamaican grill chicken x bone smoki bbq grill chicken
"1 x Grilled Chicken Smoky BBQ Tender, 1 x Grilled Chicken Jamaican Tender",x grill chicken smoki bbq tender x grill chicken jamaican tender
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Grilled Chicken Peri Peri Tender",x bone smoki bbq grill chicken x grill chicken peri peri tender
"1 x Fried Chicken Classic Tender, 1 x Grilled Chicken Peri Peri Tender",x fri chicken classic tender x grill chicken peri peri tender
"1 x Fried Chicken Peri Peri Tender, 1 x Grilled Chicken Smoky BBQ Tender",x fri chicken peri peri tender x grill chicken smoki bbq tender
"1 x Bone in Kabuli Grilled Chicken, 1 x Fried Chicken Classic Tender",x bone kabuli grill chicken x fri chicken classic tender
"2 x Grilled Chicken Smoky BBQ Tangdi, 1 x Fried Chicken Classic Tender, 1 x Grilled Chicken Jamaican Tender",x grill chicken smoki bbq tangdi x fri chicken classic tender x grill chicken jamaican tender
